1295004;0000 9327 9856grid.6986.1Tampere University of Technology BioMediTech institute and Faculty of Biomedical Sciences and Engineering
1042750;0000 9950 5666grid.15485.3dHelsinki University and Helsinki University Hospital
1042741;0000 9950 5666grid.15485.3dHelsinki University Hospital and University of Helsinki
998568;0000 9950 5666grid.15485.3dHelsinki University Hospital Comprehensive Cancer Center
1258016;0001 0726 2490grid.9668.1University of Eastern Finland and Kuopio University Hospital
1208916;0001 0726 2490grid.9668.1University of Eastern Finland (UEF)
1043481;0001 1013 7965grid.9681.6Jyväskylä University Psychology Department
1013446;0001 2097 1371grid.1374.1University of Turku and Turku University Hospital
660493;00014 Helsinki University
1500153;00014 University of Finland
379452;00014 Universityof Helsinki
55843;00029 Helsinki University Central Hospital and ORTON Orthopaedic Hospital of the Invalid Foundation
1176004;0004 0410 2071grid.7737.4Folkhälsan Institute of Genetics and University of Helsinki
1173475;0004 0410 2071grid.7737.4Heart and Lung Centre HUCH and Helsinki University
1279311;0004 0410 2071grid.7737.4Helsinki University and Helsinki University Hospital
1109010;0004 0410 2071grid.7737.4University of Helsinki and Helsinki University Central Hospital
1200130;0004 0410 2071grid.7737.4University of Helsinki and Helsinki University Hospital
995493;0004 0628 207Xgrid.410705.7Kuopio University Hospital
1197016;0004 0628 207Xgrid.410705.7Kuopio University Hospital (Science Service Centre)
1250240;0004 0628 215Xgrid.410552.7Department of Plastic and General Surgery Turku University Hospital
1138584;0004 0628 2985grid.412330.7Heart Center Co. Tampere University Hospital
1087847;0004 0628 2985grid.412330.7Tampere University Hospital
1188721;0004 4685 4917grid.412326.0Medical Research Center (MRC) and Oulu University Hospital
1113814;0004 4685 4917grid.412326.0Oulu University Hospital and Medical Research Center Oulu
1267071;10Research Centre of Applied and Preventive Cardiovascular MedicineUniversity of TurkuFinland
1203927;11NMR Metabolomics LaboratorySchool of PharmacyUniversity of Eastern FinlandKuopioFinland
1267073;12Department of Clinical Physiology and Nuclear MedicineTurku University HospitalTurkuFinland
1203928;12Research Centre of Applied and Preventive Cardiovascular MedicineUniversity of TurkuFinland
1129720;16Helsinki University and Helsinki University Hospital
1203933;17Department of Clinical Physiology and Nuclear MedicineTurku University HospitalTurkuFinland
